Accession	Unnamed: 0	Organism_Name	SRA_Accession	Submitters	Organization	Org_location	Release_Date	Isolate	Species	Length	Nuc_Completeness	Geo_Location	Country	USA	Host	Isolation_Source	date	BioSample	GenBank_Title	Division
OL840898.1	250	West Nile virus	?	Papa,A.	Aristotle University of Thessaloniki, A' Dept. of Microbiology	Greece	2022-11-15T00:00:00Z	GR-Thessaloniki/E418m/2021	Orthoflavivirus nilense	10997	complete	Greece	Greece	?	Culex pipiens	?	2021-08	?	West Nile virus isolate GR-Thessaloniki/E418m/2021, complete genome	?
KJ883344.1	2004	West Nile virus	?	Papa,A., Barzon,L., Pacenti,M., Franchin,E., Lavezzo,E., Squarzon,L., Toppo,S., Martello,T., Cattai,M., Cusinato,R., Papadopoulou,E., Gavana,E., Palu,G.	University of Padua, Department of Molecular Medicine	Italy	2015-05-29T00:00:00Z	?	Orthoflavivirus nilense	11003	complete	Greece	Greece	?	Homo sapiens	urine	2013	?	West Nile virus strain Greece/2013/Xanthi_2, complete genome	?
OL840899.1	251	West Nile virus	?	Papa,A.	Aristotle University of Thessaloniki, A' Dept. of Microbiology	Greece	2022-11-15T00:00:00Z	GR-Thessaloniki/E419m/2021	Orthoflavivirus nilense	10997	complete	Greece	Greece	?	Culex pipiens	?	2021-08	?	West Nile virus isolate GR-Thessaloniki/E419m/2021, complete genome	?
MN652880.1	605	West Nile virus	?	Papa,A., Gewehr,S., Tsioka,K., Kalaitzopoulou,S., Pappa,S., Mourelatos,S., Serafim,C., Elpida,P., Chrysostomos,D.	Aristotle University of Thessaloniki, A' Dept. of Microbiology	Greece	2019-12-15T00:00:00Z	Thessaloniki_MC82m/2018	Orthoflavivirus nilense	10926	complete	Greece	Greece	?	Culex	?	2018-08	?	West Nile virus isolate Thessaloniki_MC82m/2018, complete genome	?
OQ053516.1	173	West Nile virus	?	Tsioka,K., Gewehr,S., Pappa,S., Kalaitzopoulou,S., Stoikou,K., Mourelatos,S., Papa,A.	Aristotle University of Thessaloniki, A' Dept. of Microbiology	Greece	2023-02-01T00:00:00Z	?	Orthoflavivirus nilense	10989	complete	Greece	Greece	?	Homo sapiens	?	2022-08-19	?	West Nile virus strain GR-Larissa/792h/2022, complete genome	?
MH549209.1	648	West Nile virus	?	Valiakos,G., Plavos,K., Vontas,A., Sofia,M., Giannakopoulos,A., Giannoulis,T., Spyrou,V., Tsokana,C.N., Chatzopoulos,D., Kantere,M., Diamantopoulos,V., Theodorou,A., Mpellou,S., Tsakris,A., Mamuris,Z., Billinis,C.	Faculty of Veterinary Medicine, University of Thessaly, Laboratory of Microbiology and Parasitology	Greece	2019-08-17T00:00:00Z	?	Orthoflavivirus nilense	10946	partial	Greece: Argolida, Peloponnesus	Greece	?	Pica pica	?	2017-07	?	West Nile virus polyprotein gene, complete cds	Argolida, Peloponnesus
OQ053519.1	176	West Nile virus	?	Tsioka,K., Gewehr,S., Pappa,S., Kalaitzopoulou,S., Stoikou,K., Mourelatos,S., Papa,A.	Aristotle University of Thessaloniki, A' Dept. of Microbiology	Greece	2023-02-01T00:00:00Z	?	Orthoflavivirus nilense	10993	complete	Greece	Greece	?	Culex pipiens	?	2022-06-29	?	West Nile virus strain GR-Thessaloniki/312m/2022, complete genome	?
MT341471.1	598	West Nile virus	?	Papa,A., Tsioka,K., Gewehr,S., Kalaitzopoulou,S., Pappa,S., Mourelatos,S.	Aristotle University of Thessaloniki, Dept. of Microbiology	Greece	2020-04-28T00:00:00Z	Karditsa-13m-Greece-2019	Orthoflavivirus nilense	10787	complete	Greece	Greece	?	Culex	?	2019-07	?	West Nile virus isolate Karditsa-13m-Greece-2019, complete genome	?
OQ053520.1	177	West Nile virus	?	Tsioka,K., Gewehr,S., Pappa,S., Kalaitzopoulou,S., Stoikou,K., Mourelatos,S., Papa,A.	Aristotle University of Thessaloniki, A' Dept. of Microbiology	Greece	2023-02-01T00:00:00Z	?	Orthoflavivirus nilense	10994	complete	Greece	Greece	?	Culex pipiens	?	2022-08-31	?	West Nile virus strain GR-Pieria/670m/2022, complete genome	?
KJ883345.1	2005	West Nile virus	?	Papa,A., Barzon,L., Pacenti,M., Franchin,E., Lavezzo,E., Squarzon,L., Toppo,S., Martello,T., Cattai,M., Cusinato,R., Papadopoulou,E., Gavana,E., Palu,G.	University of Padua, Department of Molecular Medicine	Italy	2015-05-29T00:00:00Z	?	Orthoflavivirus nilense	11008	complete	Greece	Greece	?	Homo sapiens	urine	2013	?	West Nile virus strain Greece/2013/Xanthi_3, complete genome	?
OQ053522.1	179	West Nile virus	?	Tsioka,K., Gewehr,S., Pappa,S., Kalaitzopoulou,S., Stoikou,K., Mourelatos,S., Papa,A.	Aristotle University of Thessaloniki, A' Dept. of Microbiology	Greece	2023-02-01T00:00:00Z	?	Orthoflavivirus nilense	10981	complete	Greece	Greece	?	Culex pipiens	?	2022-08-18	?	West Nile virus strain GR-Thessaloniki/581m/2022, complete genome	?
OL840871.1	223	West Nile virus	?	Papa,A.	Aristotle University of Thessaloniki, A' Dept. of Microbiology	Greece	2022-11-15T00:00:00Z	GR-Edessa/516h/2018	Orthoflavivirus nilense	10979	complete	Greece	Greece	?	Homo sapiens	?	2018-08	?	West Nile virus isolate GR-Edessa/516h/2018, complete genome	?
MK473443.1	602	West Nile virus	?	Valiakos,G.	Faculty of Veterinary Medicine, University of Thessaly, Laboratory of Microbiology and Parasitology	Greece	2020-02-16T00:00:00Z	?	Orthoflavivirus nilense	10946	partial	Greece: Argolida, Peloponnesus	Greece	?	Pica pica	brain	2017-07	?	West Nile virus polyprotein gene, complete cds	Argolida, Peloponnesus
OL840873.1	225	West Nile virus	?	Papa,A.	Aristotle University of Thessaloniki, A' Dept. of Microbiology	Greece	2022-11-15T00:00:00Z	GR-Larissa/778h/2018	Orthoflavivirus nilense	10930	complete	Greece	Greece	?	Homo sapiens	?	2018-09	?	West Nile virus isolate GR-Larissa/778h/2018, complete genome	?
MN480793.1	610	West Nile virus	?	Chaintoutis,S.C., Papa,A., Pervanidou,D., Dovas,C.I., Chaintoutis,S., Papadopoulou,E., Dovas,C.	Aristotle University of Thessaloniki, Dept. of Microbiology	Greece	2019-09-29T00:00:00Z	Pella_435h/2018	Orthoflavivirus nilense	10926	complete	Greece	Greece	?	Homo sapiens	urine	2018-08	?	West Nile virus isolate Pella_435h/2018, complete genome	?
OQ053528.1	185	West Nile virus	?	Tsioka,K., Gewehr,S., Pappa,S., Kalaitzopoulou,S., Stoikou,K., Mourelatos,S., Papa,A.	Aristotle University of Thessaloniki, A' Dept. of Microbiology	Greece	2023-02-01T00:00:00Z	?	Orthoflavivirus nilense	10978	complete	Greece	Greece	?	Culex pipiens	?	2022-08-31	?	West Nile virus strain GR-Pieria/668m/2022, complete genome	?
OQ053529.1	186	West Nile virus	?	Tsioka,K., Gewehr,S., Pappa,S., Kalaitzopoulou,S., Stoikou,K., Mourelatos,S., Papa,A.	Aristotle University of Thessaloniki, A' Dept. of Microbiology	Greece	2023-02-01T00:00:00Z	?	Orthoflavivirus nilense	10978	complete	Greece	Greece	?	Culex pipiens	?	2022-08-29	?	West Nile virus strain GR-Pieria/646m/2022, complete genome	?
KJ883341.1	2001	West Nile virus	?	Papa,A., Barzon,L., Pacenti,M., Franchin,E., Lavezzo,E., Squarzon,L., Toppo,S., Martello,T., Cattai,M., Cusinato,R., Papadopoulou,E., Gavana,E., Palu,G.	University of Padua, Department of Molecular Medicine	Italy	2015-05-29T00:00:00Z	?	Orthoflavivirus nilense	11013	partial	Greece	Greece	?	Homo sapiens	urine	2013	?	West Nile virus strain Greece/2013/Xanthi_4, genome	?
MN480795.1	612	West Nile virus	?	Chaintoutis,S.C., Papa,A., Pervanidou,D., Dovas,C.I., Chaintoutis,S., Papadopoulou,E., Dovas,C.	Aristotle University of Thessaloniki, Dept. of Microbiology	Greece	2019-09-29T00:00:00Z	Pella_677h/2018	Orthoflavivirus nilense	10926	complete	Greece	Greece	?	Homo sapiens	urine	2018-08	?	West Nile virus isolate Pella_677h/2018, complete genome	?
OQ053532.1	189	West Nile virus	?	Tsioka,K., Gewehr,S., Pappa,S., Kalaitzopoulou,S., Stoikou,K., Mourelatos,S., Papa,A.	Aristotle University of Thessaloniki, A' Dept. of Microbiology	Greece	2023-02-01T00:00:00Z	?	Orthoflavivirus nilense	10992	complete	Greece	Greece	?	Culex pipiens	?	2022-07-11	?	West Nile virus strain GR-Thessaloniki/364m/2022, complete genome	?
OL840876.1	228	West Nile virus	?	Papa,A.	Aristotle University of Thessaloniki, A' Dept. of Microbiology	Greece	2022-11-15T00:00:00Z	GR-Xanthi/424h/2019	Orthoflavivirus nilense	10978	complete	Greece	Greece	?	Homo sapiens	?	2019-08	?	West Nile virus isolate GR-Xanthi/424h/2019, complete genome	?
OQ053534.1	191	West Nile virus	?	Tsioka,K., Gewehr,S., Pappa,S., Kalaitzopoulou,S., Stoikou,K., Mourelatos,S., Papa,A.	Aristotle University of Thessaloniki, A' Dept. of Microbiology	Greece	2023-02-01T00:00:00Z	?	Orthoflavivirus nilense	10988	complete	Greece	Greece	?	Culex pipiens	?	2022-08-30	?	West Nile virus strain GR-Larissa/671m/2022, complete genome	?
OQ053535.1	192	West Nile virus	?	Tsioka,K., Gewehr,S., Pappa,S., Kalaitzopoulou,S., Stoikou,K., Mourelatos,S., Papa,A.	Aristotle University of Thessaloniki, A' Dept. of Microbiology	Greece	2023-02-01T00:00:00Z	?	Orthoflavivirus nilense	10993	complete	Greece	Greece	?	Culex pipiens	?	2022-07-27	?	West Nile virus strain GR-Thessaloniki/454m/2022, complete genome	?
OL840877.1	229	West Nile virus	?	Papa,A.	Aristotle University of Thessaloniki, A' Dept. of Microbiology	Greece	2022-11-15T00:00:00Z	GR-Evros/557h/2019	Orthoflavivirus nilense	10949	complete	Greece	Greece	?	Homo sapiens	?	2019-08	?	West Nile virus isolate GR-Evros/557h/2019, complete genome	?
OQ053537.1	194	West Nile virus	?	Tsioka,K., Gewehr,S., Pappa,S., Kalaitzopoulou,S., Stoikou,K., Mourelatos,S., Papa,A.	Aristotle University of Thessaloniki, A' Dept. of Microbiology	Greece	2023-02-01T00:00:00Z	?	Orthoflavivirus nilense	10998	complete	Greece	Greece	?	Culex pipiens	?	2022-07-28	?	West Nile virus strain GR-Imathia/459m/2022, complete genome	?
OQ053538.1	195	West Nile virus	?	Tsioka,K., Gewehr,S., Pappa,S., Kalaitzopoulou,S., Stoikou,K., Mourelatos,S., Papa,A.	Aristotle University of Thessaloniki, A' Dept. of Microbiology	Greece	2023-02-01T00:00:00Z	?	Orthoflavivirus nilense	10987	complete	Greece	Greece	?	Culex pipiens	?	2022-08-10	?	West Nile virus strain GR-Imathia/535m/2022, complete genome	?
OQ053539.1	196	West Nile virus	?	Tsioka,K., Gewehr,S., Pappa,S., Kalaitzopoulou,S., Stoikou,K., Mourelatos,S., Papa,A.	Aristotle University of Thessaloniki, A' Dept. of Microbiology	Greece	2023-02-01T00:00:00Z	?	Orthoflavivirus nilense	10992	complete	Greece	Greece	?	Culex pipiens	?	2022-07-18	?	West Nile virus strain GR-Pieria/401m/2022, complete genome	?
OP179287.1	73	West Nile virus	?	Nagy,A., Horvath,A.	National Public Health Center, National Reference Laboratory for Viral Zoonoses	Hungary	2023-03-29T00:00:00Z	HUN_WNV2324_2021	Orthoflavivirus nilense	11009	complete	Hungary	Hungary	?	Homo sapiens	urine	2021-08	?	West Nile virus isolate HUN_WNV2324_2021, complete genome	?
OK239663.1	297	West Nile virus	?	Nagy,A., Horvath,A.	National Public Health Center, National Reference Laboratory for Viral Zoonoses	Hungary	2022-09-17T00:00:00Z	4599_HUN2019	Orthoflavivirus nilense	10966	complete	Hungary: Nyiregyhaza	Hungary	?	Homo sapiens	urine	2018	?	West Nile virus strain 4599_WNV_HUN2019, complete genome	Nyiregyhaza
KC496015.1	2478	West Nile virus	?	Bakonyi,T., Petric,D., Szentpali-Gavaller,K., Barna,M., Bercic,R.L., Petrovic,T., Nowotny,N.	Institute of Virology, University of Veterinary Medicine Vienna, Viral Zoonoses, Emerging and Vector-Borne Infections Group	Austria	2014-02-17T00:00:00Z	?	Orthoflavivirus nilense	11028	complete	Hungary	Hungary	?	Equus caballus	?	2010	?	West Nile virus strain 578/10, complete genome	?
OK129333.1	282	West Nile virus	?	Nagy,A., Horvath,A.	National Public Health Center, National Reference Laboratory for Viral Zoonoses	Hungary	2022-11-01T00:00:00Z	?	Orthoflavivirus nilense	10966	partial	Hungary: Szentmartonkata	Hungary	?	Homo sapiens	?	2017	?	West Nile virus strain 4693_HUN2017 polyprotein gene, complete cds	Szentmartonkata
OK239664.1	298	West Nile virus	?	Nagy,A., Horvath,A.	National Public Health Center, National Reference Laboratory for Viral Zoonoses	Hungary	2022-09-17T00:00:00Z	4619_HUN2018	Orthoflavivirus nilense	10966	complete	Hungary: Dunaujvaros	Hungary	?	Homo sapiens	?	2018	?	West Nile virus strain 4619_WNV_HUN2018, complete genome	Dunaujvaros
OK239671.1	305	West Nile virus	?	Nagy,A., Horvath,A.	National Public Health Center, National Reference Laboratory for Viral Zoonoses	Hungary	2022-09-17T00:00:00Z	5777_HUN2018	Orthoflavivirus nilense	10966	complete	Hungary: Ujtelek	Hungary	?	Homo sapiens	urine	2018	?	West Nile virus strain 5777_WNV_HUN2018, complete genome	Ujtelek
OK239659.1	293	West Nile virus	?	Nagy,A., Horvath,A.	National Public Health Center, National Reference Laboratory for Viral Zoonoses	Hungary	2022-09-17T00:00:00Z	3970_HUN2018	Orthoflavivirus nilense	10966	complete	Hungary: Kecskemet	Hungary	?	Homo sapiens	?	2018	?	West Nile virus strain 3970_WNV_HUN2018, complete genome	Kecskemet
OK239661.1	295	West Nile virus	?	Nagy,A., Horvath,A.	National Public Health Center, National Reference Laboratory for Viral Zoonoses	Hungary	2022-09-17T00:00:00Z	4313_HUN2018	Orthoflavivirus nilense	10966	complete	Hungary: Oroshaza	Hungary	?	Homo sapiens	?	2018	?	West Nile virus strain 4313_WNV_HUN2018, complete genome	Oroshaza
OK129331.1	280	West Nile virus	?	Nagy,A., Horvath,A.	National Public Health Center, National Reference Laboratory for Viral Zoonoses	Hungary	2022-11-01T00:00:00Z	?	Orthoflavivirus nilense	10966	partial	Hungary: Matyasdomb	Hungary	?	Homo sapiens	?	2015	?	West Nile virus strain 3554_HUN2015 polyprotein gene, complete cds	Matyasdomb
KT359349.1	1865	West Nile virus	?	Nagy,A., Ban,E., Nagy,O., Ferenczi,E., Farkas,A., Banyai,K., Farkas,S., Takacs,M.	National Center for Epidemiology, Division of Virology	Hungary	2016-03-01T00:00:00Z	?	Orthoflavivirus nilense	10966	complete	Hungary	Hungary	?	Homo sapiens	urine	2014	?	West Nile virus strain 2014/hun, complete genome	?
OK239667.1	301	West Nile virus	?	Nagy,A., Horvath,A.	National Public Health Center, National Reference Laboratory for Viral Zoonoses	Hungary	2022-09-17T00:00:00Z	4889_HUN2018	Orthoflavivirus nilense	10966	partial	Hungary: Kiskunmajsa	Hungary	?	Homo sapiens	urine	2018	?	West Nile virus strain 4889_WNV_HUN2018, partial sequence	Kiskunmajsa
OK129336.1	285	West Nile virus	?	Nagy,A., Horvath,A.	National Public Health Center, National Reference Laboratory for Viral Zoonoses	Hungary	2022-11-01T00:00:00Z	?	Orthoflavivirus nilense	10966	partial	Hungary: Tahitotfalu	Hungary	?	Homo sapiens	?	2017	?	West Nile virus strain 5041_HUN2017 polyprotein gene, complete cds	Tahitotfalu
OK239669.1	303	West Nile virus	?	Nagy,A., Horvath,A.	National Public Health Center, National Reference Laboratory for Viral Zoonoses	Hungary	2022-09-17T00:00:00Z	5204_HUN2017	Orthoflavivirus nilense	10943	complete	Hungary: Jaszkiser	Hungary	?	Homo sapiens	?	2017	?	West Nile virus strain 5204_WNV_HUN2017, complete genome	Jaszkiser
OK239672.1	306	West Nile virus	?	Nagy,A., Horvath,A.	National Public Health Center, National Reference Laboratory for Viral Zoonoses	Hungary	2022-09-17T00:00:00Z	5981_HUN2018	Orthoflavivirus nilense	10966	complete	Hungary: Tiszaluc	Hungary	?	Homo sapiens	blood	2018	?	West Nile virus strain 5981_WNV_HUN2018, complete genome	Tiszaluc
OP179288.1	74	West Nile virus	?	Nagy,A., Horvath,A.	National Public Health Center, National Reference Laboratory for Viral Zoonoses	Hungary	2023-03-29T00:00:00Z	HUN_WNV2947_2021	Orthoflavivirus nilense	11021	complete	Hungary	Hungary	?	Homo sapiens	urine	2021-08	?	West Nile virus isolate HUN_WNV2947_2021, complete genome	?
OK239660.1	294	West Nile virus	?	Nagy,A., Horvath,A.	National Public Health Center, National Reference Laboratory for Viral Zoonoses	Hungary	2022-09-17T00:00:00Z	4114_HUN2018	Orthoflavivirus nilense	10966	complete	Hungary: Budapest	Hungary	?	Homo sapiens	?	2018	?	West Nile virus strain 4114_WNV_HUN2018, complete genome	Budapest
DQ118127.1	3169	West Nile virus	?	Bakonyi,T., Ivanics,E., Erdelyi,K., Ursu,K., Ferenczi,E., Weissenbock,H., Nowotny,N., Glavits,R., Mato,T., Zarka,P., Palya,V.	Faculty of Veterinary Science, Szent Istvan University, Department of Microbiology and Infectious Diseases	Hungary	2006-04-19T00:00:00Z	goose-Hungary/03	Orthoflavivirus nilense	10969	complete	Hungary	Hungary	?	Anatidae	?	?	?	West Nile virus isolate goose-Hungary/03, complete genome	?
OK239662.1	296	West Nile virus	?	Nagy,A., Horvath,A.	National Public Health Center, National Reference Laboratory for Viral Zoonoses	Hungary	2022-09-17T00:00:00Z	4566_HUN2018	Orthoflavivirus nilense	10966	complete	Hungary: Kiskunhalas	Hungary	?	Homo sapiens	urine	2018	?	West Nile virus strain 4566_WNV_HUN2018, complete genome	Kiskunhalas
OK129332.1	281	West Nile virus	?	Nagy,A., Horvath,A.	National Public Health Center, National Reference Laboratory for Viral Zoonoses	Hungary	2022-11-01T00:00:00Z	?	Orthoflavivirus nilense	10966	partial	Hungary: Dunaujvaros	Hungary	?	Homo sapiens	?	2015	?	West Nile virus strain 3745_HUN2015 polyprotein gene, complete cds	Dunaujvaros
MZ605382.4	473	West Nile virus	?	Roth,H., Kress,J., Chudy,M., Bluemel,J., Schmidt-Chanasit,J., Cadar,D., Niedrig,M., Ferenczi,E., Herrmann,M., Baylis,S.A., Miskey,C.	Paul-Ehrlich-Institut, Virology	Germany	2021-07-27T00:00:00Z	Heja	Orthoflavivirus nilense	11028	complete	Hungary	Hungary	?	Accipiter gentilis	?	2004	?	West Nile virus isolate Heja, complete genome	?
OK239665.1	299	West Nile virus	?	Nagy,A., Horvath,A.	National Public Health Center, National Reference Laboratory for Viral Zoonoses	Hungary	2022-09-17T00:00:00Z	4656_HUN2018	Orthoflavivirus nilense	10966	complete	Hungary: Debrecen	Hungary	?	Homo sapiens	urine	2018	?	West Nile virus strain 4656_WNV_HUN2018, complete genome	Debrecen
OK129334.1	283	West Nile virus	?	Nagy,A., Horvath,A.	National Public Health Center, National Reference Laboratory for Viral Zoonoses	Hungary	2022-11-01T00:00:00Z	?	Orthoflavivirus nilense	10966	partial	Hungary: Tisza	Hungary	?	Homo sapiens	?	2017	?	West Nile virus strain 4770_HUN2017 polyprotein gene, complete cds	Tisza
OK239666.1	300	West Nile virus	?	Nagy,A., Horvath,A.	National Public Health Center, National Reference Laboratory for Viral Zoonoses	Hungary	2022-09-17T00:00:00Z	4677_HUN2018	Orthoflavivirus nilense	10966	complete	Hungary: Bekescsaba	Hungary	?	Homo sapiens	urine	2018	?	West Nile virus strain 4677_WNV_HUN2018, complete genome	Bekescsaba
OK239668.1	302	West Nile virus	?	Nagy,A., Horvath,A.	National Public Health Center, National Reference Laboratory for Viral Zoonoses	Hungary	2022-09-17T00:00:00Z	5132_HUN2018	Orthoflavivirus nilense	10966	complete	Hungary: Jaszbereny	Hungary	?	Homo sapiens	urine	2018	?	West Nile virus strain 5132_WNV_HUN2018, complete genome	Jaszbereny
OK129335.1	284	West Nile virus	?	Nagy,A., Horvath,A.	National Public Health Center, National Reference Laboratory for Viral Zoonoses	Hungary	2022-11-01T00:00:00Z	?	Orthoflavivirus nilense	10966	partial	Hungary: Martfu	Hungary	?	Homo sapiens	?	2017	?	West Nile virus strain 4824_HUN2017 polyprotein gene, complete cds	Martfu
OK129329.1	278	West Nile virus	?	Nagy,A., Horvath,A.	National Public Health Center, National Reference Laboratory for Viral Zoonoses	Hungary	2022-11-01T00:00:00Z	?	Orthoflavivirus nilense	10966	partial	Hungary: Enying	Hungary	?	Homo sapiens	?	2016	?	West Nile virus strain 3200_HUN2016 polyprotein gene, complete cds	Enying
OK239670.1	304	West Nile virus	?	Nagy,A., Horvath,A.	National Public Health Center, National Reference Laboratory for Viral Zoonoses	Hungary	2022-09-17T00:00:00Z	4637_HUN2018	Orthoflavivirus nilense	10966	complete	Hungary: Hajduszoboszlo	Hungary	?	Homo sapiens	?	2018	?	West Nile virus strain 4637_WNV_HUN2018, complete genome	Hajduszoboszlo
OK239658.1	292	West Nile virus	?	Nagy,A., Horvath,A.	National Public Health Center, National Reference Laboratory for Viral Zoonoses	Hungary	2022-09-17T00:00:00Z	3731_HUN2018	Orthoflavivirus nilense	10966	complete	Hungary: Hajduszoboszlo	Hungary	?	Homo sapiens	?	2018	?	West Nile virus strain 3731_WNV_HUN2018, complete genome	Hajduszoboszlo
DQ116961.1	3168	West Nile virus	?	Bakonyi,T., Ivanics,E., Erdelyi,K., Ursu,K., Ferenczi,E., Weissenbock,H., Nowotny,N.	Faculty of Veterinary Science, Szent Istvan University, Department of Microbiology and Infectious Diseases	Hungary	2006-04-19T00:00:00Z	goshawk-Hungary/04	Orthoflavivirus nilense	11028	complete	Hungary	Hungary	?	Accipiter gentilis	?	?	?	West Nile virus isolate goshawk-Hungary/04, complete genome	?
OK129330.1	279	West Nile virus	?	Nagy,A., Horvath,A.	National Public Health Center, National Reference Laboratory for Viral Zoonoses	Hungary	2022-11-01T00:00:00Z	?	Orthoflavivirus nilense	10966	partial	Hungary: Kisujszallas	Hungary	?	Homo sapiens	?	2016	?	West Nile virus strain 3227_HUN2016 polyprotein gene, complete cds	Kisujszallas
KC601756.1	2598	West Nile virus	?	Balakrishnan,A., Butte,D.K., Jadhav,S.M., Anukumar,B., Mourya,D.T.	National Institute of Virology, Kerala Unit	India	2013-04-01T00:00:00Z	1048813	Orthoflavivirus nilense	10948	complete	India: Kerala	India	?	Homo sapiens	?	2011-02	?	West Nile virus isolate 1048813, complete genome	Kerala
DQ256376.1	3162	West Nile virus	?	Bondre,V.P., Jadi,R.S., Arankalle,V.A.	National Institute of Virology, Microbial Containment Complex	India	2006-10-31T00:00:00Z	?	Orthoflavivirus nilense	11014	complete	India	India	?	Homo sapiens	brain	1980	?	West Nile virus strain 804994, complete genome	?
KT163243.1	1877	West Nile virus	?	Pavitrakar,D.V., Ayachit,V.M., Mundhra,S., Bondre,V.P.	National Institute of Virology, Microbial Containment Complex, Encephalitis Group	India	2015-09-29T00:00:00Z	68856-ICDC-4	Orthoflavivirus nilense	11029	complete	India	India	?	?	?	2015-01-01	?	West Nile virus isolate 68856-ICDC-4, complete genome	?
GQ851604.1	2903	West Nile virus	?	May,F.J., Davis,C.T., Tesh,R.B., Barrett,A.D., Barrett,A.D.T.	UTMB, Pathology	USA	2010-09-13T00:00:00Z	?	Orthoflavivirus nilense	10489	partial	India	India	?	?	?	1957	?	West Nile virus strain G15578 polyprotein gene, complete cds	?
JX041632.1	2636	West Nile virus	?	Prilipov,A.G., Kinney,R.M., Sadykova,G.K.	The D.I. Ivanovsky Institute of Virology of The Ministry of Health and Social Development of The Russian Federation, Molecular Genetics	Russia	2012-07-31T00:00:00Z	?	Orthoflavivirus nilense	10900	complete	India: Madras state	India	?	Culex vishnui	?	1955	?	West Nile virus strain Ig2266, complete genome	Madras state
GQ851605.1	2904	West Nile virus	?	May,F.J., Davis,C.T., Tesh,R.B., Barrett,A.D., Barrett,A.D.T.	UTMB, Pathology	USA	2010-09-13T00:00:00Z	?	Orthoflavivirus nilense	10997	partial	India	India	?	Culicidae	?	1957	?	West Nile virus strain G16146 polyprotein gene, complete cds	?
KU978770.1	1341	West Nile virus	SRR3218231	Guerbois,M., Forrester,N.L., Rossi,S.L., Hari,K., Lin,D., Weaver,S.C.	University of Texas Medical Branch, Microbiology and Immunology	USA	2017-03-25T00:00:00Z	I 804994	Orthoflavivirus nilense	11001	partial	India	India	?	Homo sapiens	?	1988-02-12	SAMN04328133	West Nile virus isolate I 804994 polyprotein (AUF36_00001) gene, complete cds	?
MN238670.1	458	West Nile virus	?	Shahhosseini,N., Kayedi,M.H.	Laval University, Medicne	Canada	2021-12-23T00:00:00Z	Lorestna2	Orthoflavivirus nilense	11013	complete	Iran	Iran	?	Culex theileri	?	2018	?	West Nile virus isolate Lorestna2, complete genome	?
MN238669.1	457	West Nile virus	?	Shahhosseini,N., Kayedi,M.H.	Laval University, Medicne	Canada	2021-12-23T00:00:00Z	Lorestan1	Orthoflavivirus nilense	11013	complete	Iran	Iran	?	Culex pipiens	?	2017	?	West Nile virus isolate Lorestan1, complete genome	?
HM051416.1	2779	West Nile virus	?	Albayrak,H., Barrett,A.	UTMB, Pathology	USA	2011-04-05T00:00:00Z	twn9	Orthoflavivirus nilense	11029	complete	Israel	Israel	?	Homo sapiens	?	1953	?	West Nile virus isolate twn9, complete genome	?
AY688948.1	3247	West Nile virus	?	Chu,J.J., Rajamanonmani,R., Li,J., Bhuvanakantham,R., Lescar,J., Ng,M.L., Howe,J., Ng,M.-L.	National University of Singapore, Microbiology	Singapore	2004-08-15T00:00:00Z	?	Orthoflavivirus nilense	11057	complete	Israel	Israel	?	?	?	?	?	West Nile virus strain Sarafend, complete genome	?
HM152773.1	3091	West Nile virus	?	Lanciotti,R.S., Bin,H., Hindiyeh,M., Krest,A., Shulman,L.M., Mendelson,E.	Central Virology Laboratory, Public Health Services, Israel Ministry of Health	Israel	2010-06-07T00:00:00Z	WNV_0043h_ISR00	Orthoflavivirus nilense	10864	partial	Israel	Israel	?	Homo sapiens	?	2000	?	West Nile virus isolate WNV_0043h_ISR00 from Israel polyprotein gene, complete cds	?
HM152775.1	3092	West Nile virus	?	Lanciotti,R.S., Bin,H., Hindiyeh,M., Krest,A., Shulman,L.M., Mendelson,E.	Central Virology Laboratory, Public Health Services, Israel Ministry of Health	Israel	2010-06-07T00:00:00Z	WNV_0304h_ISR00	Orthoflavivirus nilense	10980	partial	Israel	Israel	?	Homo sapiens	?	2000	?	West Nile virus isolate WNV_0304h_ISR00 from Israel polyprotein gene, complete cds	?
MW862095.1	353	West Nile virus	?	Zaccaria,G., Malatesta,D., Jurisic,L., Marcacci,M., Di Teodoro,G., Conte,A., Teodori,L., Monaco,F., Marini,V., Casaccia,C., Savini,G., Di Gennaro,A., Rossi,E., D'Innocenzo,V., D'Alterio,N., Lorusso,A., Polci,A., Ancora,M., Di Domenico,M., Mencattelli,G.	Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases	Italy	2022-08-09T00:00:00Z	2018.TE.21498	Orthoflavivirus nilense	10305	partial	Italy	Italy	?	Corvus cornix	?	2018	?	West Nile virus isolate 2018.TE.21498 polyprotein gene, complete cds	?
JN858069.1	2665	West Nile virus	?	Bagnarelli,P., Trotta,D., Marinelli,K., Monachetti,A.	University Politecnica Marche, Biomedical Sciences & Public Health	Italy	2011-12-06T00:00:00Z	Italy/2011/AN-1	Orthoflavivirus nilense	10895	complete	Italy	Italy	?	Homo sapiens	urine	2011-09	?	West Nile virus isolate Italy/2011/AN-1, complete genome	?
