Accession,Organism_Name,SRA_Accession,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Length,Nuc_Completeness,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
KX547434.1,West Nile virus,,"Shabman,R., Das,S.R., Halpin,R.A., Shilts,M., Fedorova,N., Puri,V., Amedeo,P., Shrivastava,S., Maffei,J., Dupuis,A., Jones,S., Backenson,B., Zink,S., Ciota,A., Kramer,L.",J. Craig Venter Institute,USA,2016-08-02T00:00:00Z,,Orthoflavivirus nilense,10787,complete,"USA: Rockland Co., NY",USA,NY,Culex,,2009-09-11,,"West Nile virus strain WNV-1/Culex/USA/09430535/2009, complete genome"
KX547435.1,West Nile virus,,"Shabman,R., Das,S.R., Halpin,R.A., Shilts,M., Fedorova,N., Puri,V., Amedeo,P., Shrivastava,S., Maffei,J., Dupuis,A., Jones,S., Backenson,B., Zink,S., Ciota,A., Kramer,L.",J. Craig Venter Institute,USA,2016-08-02T00:00:00Z,,Orthoflavivirus nilense,10787,complete,"USA: Kings Co., NY",USA,NY,Corvus brachyrhynchos,,2006-08-18,,"West Nile virus strain WNV-1/Corvus brachyrhynchos/USA/06VER01444/2006, complete genome"
KX547436.1,West Nile virus,,"Shabman,R., Das,S.R., Halpin,R.A., Shilts,M., Fedorova,N., Puri,V., Amedeo,P., Shrivastava,S., Maffei,J., Dupuis,A., Jones,S., Backenson,B., Zink,S., Ciota,A., Kramer,L.",J. Craig Venter Institute,USA,2016-08-02T00:00:00Z,,Orthoflavivirus nilense,10787,complete,"USA: Erie Co., NY",USA,NY,Culex,,2008-09-08,,"West Nile virus strain WNV-1/Culex/USA/08141542/2008, complete genome"
KX547437.1,West Nile virus,,"Shabman,R., Das,S.R., Halpin,R.A., Shilts,M., Fedorova,N., Puri,V., Amedeo,P., Shrivastava,S., Maffei,J., Dupuis,A., Jones,S., Backenson,B., Zink,S., Ciota,A., Kramer,L.",J. Craig Venter Institute,USA,2016-08-02T00:00:00Z,,Orthoflavivirus nilense,10787,complete,"USA: Suffolk Co., NY",USA,NY,Culex,,2003-07-29,,"West Nile virus strain WNV-1/Culex/USA/32030356/2003, complete genome"
KX547438.1,West Nile virus,,"Shabman,R., Das,S.R., Halpin,R.A., Shilts,M., Fedorova,N., Puri,V., Amedeo,P., Shrivastava,S., Maffei,J., Dupuis,A., Jones,S., Backenson,B., Zink,S., Ciota,A., Kramer,L.",J. Craig Venter Institute,USA,2016-08-02T00:00:00Z,,Orthoflavivirus nilense,10787,complete,"USA: Onondaga Co., NY",USA,NY,Culex,,2011-08-10,,"West Nile virus strain WNV-1/Culex/USA/11330490/2011, complete genome"
KX547439.1,West Nile virus,,"Shabman,R., Das,S.R., Halpin,R.A., Shilts,M., Fedorova,N., Puri,V., Amedeo,P., Shrivastava,S., Maffei,J., Dupuis,A., Jones,S., Backenson,B., Zink,S., Ciota,A., Kramer,L.",J. Craig Venter Institute,USA,2016-08-02T00:00:00Z,,Orthoflavivirus nilense,10787,complete,"USA: Niagara Co., NY",USA,NY,Corvus brachyrhynchos,,2003-08-14,,"West Nile virus strain WNV-1/Corvus brachyrhynchos/USA/03002066/2003, complete genome"
KX547440.1,West Nile virus,,"Shabman,R., Das,S.R., Halpin,R.A., Shilts,M., Fedorova,N., Puri,V., Amedeo,P., Shrivastava,S., Maffei,J., Dupuis,A., Jones,S., Backenson,B., Zink,S., Ciota,A., Kramer,L.",J. Craig Venter Institute,USA,2016-08-02T00:00:00Z,,Orthoflavivirus nilense,10787,complete,"USA: Suffolk Co., NY",USA,NY,Corvus brachyrhynchos,,2008-08-19,,"West Nile virus strain WNV-1/Corvus brachyrhynchos/USA/08VER00882/2008, complete genome"
KX547441.1,West Nile virus,,"Shabman,R., Das,S.R., Halpin,R.A., Shilts,M., Fedorova,N., Puri,V., Amedeo,P., Shrivastava,S., Maffei,J., Dupuis,A., Jones,S., Backenson,B., Zink,S., Ciota,A., Kramer,L.",J. Craig Venter Institute,USA,2016-08-02T00:00:00Z,,Orthoflavivirus nilense,10583,complete,"USA: Suffolk Co., NY",USA,NY,Passer domesticus,,2005-08-16,,"West Nile virus strain WNV-1/Passer domesticus/USA/05VER01940/2005, complete genome"
KX547442.1,West Nile virus,,"Shabman,R., Das,S.R., Halpin,R.A., Shilts,M., Fedorova,N., Puri,V., Amedeo,P., Shrivastava,S., Maffei,J., Dupuis,A., Jones,S., Backenson,B., Zink,S., Ciota,A., Kramer,L.",J. Craig Venter Institute,USA,2016-08-02T00:00:00Z,,Orthoflavivirus nilense,10787,complete,"USA: Westchester Co., NY",USA,NY,Culex,,2010-08-31,,"West Nile virus strain WNV-1/Culex/USA/10590255/2010, complete genome"
KX547443.1,West Nile virus,,"Shabman,R., Das,S.R., Halpin,R.A., Shilts,M., Fedorova,N., Puri,V., Amedeo,P., Shrivastava,S., Maffei,J., Dupuis,A., Jones,S., Backenson,B., Zink,S., Ciota,A., Kramer,L.",J. Craig Venter Institute,USA,2016-08-02T00:00:00Z,,Orthoflavivirus nilense,10786,complete,"USA: Nassau Co., NY",USA,NY,Aedes sp.,,2012-08-17,,"West Nile virus strain WNV-1/Aedes sp./USA/12290643/2012, complete genome"
KX547444.1,West Nile virus,,"Shabman,R., Das,S.R., Halpin,R.A., Shilts,M., Fedorova,N., Puri,V., Amedeo,P., Shrivastava,S., Maffei,J., Dupuis,A., Jones,S., Backenson,B., Zink,S., Ciota,A., Kramer,L.",J. Craig Venter Institute,USA,2016-08-02T00:00:00Z,,Orthoflavivirus nilense,10787,complete,"USA: Niagara Co., NY",USA,NY,Culex,,2002-08-06,,"West Nile virus strain WNV-1/Culex/USA/33020130/2002, complete genome"
KX547445.1,West Nile virus,,"Shabman,R., Das,S.R., Halpin,R.A., Shilts,M., Fedorova,N., Puri,V., Amedeo,P., Shrivastava,S., Maffei,J., Dupuis,A., Jones,S., Backenson,B., Zink,S., Ciota,A., Kramer,L.",J. Craig Venter Institute,USA,2016-08-02T00:00:00Z,,Orthoflavivirus nilense,10786,complete,"USA: Suffolk Co., NY",USA,NY,Culex,,2014-09-17,,"West Nile virus strain WNV-1/Culex/USA/14511283/2014, complete genome"
KX547446.1,West Nile virus,,"Shabman,R., Das,S.R., Halpin,R.A., Shilts,M., Fedorova,N., Puri,V., Amedeo,P., Shrivastava,S., Maffei,J., Dupuis,A., Jones,S., Backenson,B., Zink,S., Ciota,A., Kramer,L.",J. Craig Venter Institute,USA,2016-08-02T00:00:00Z,,Orthoflavivirus nilense,10787,complete,"USA: Wyoming Co., NY",USA,NY,Corvus brachyrhynchos,,2004-06-07,,"West Nile virus strain WNV-1/Corvus brachyrhynchos/USA/04000802/2004, complete genome"
KX547447.1,West Nile virus,,"Shabman,R., Das,S.R., Halpin,R.A., Shilts,M., Fedorova,N., Puri,V., Amedeo,P., Shrivastava,S., Maffei,J., Dupuis,A., Jones,S., Backenson,B., Zink,S., Ciota,A., Kramer,L.",J. Craig Venter Institute,USA,2016-08-02T00:00:00Z,,Orthoflavivirus nilense,10787,complete,"USA: Suffolk Co., NY",USA,NY,Corvus brachyrhynchos,,2007-08-08,,"West Nile virus strain WNV-1/Corvus brachyrhynchos/USA/07VER01099/2007, complete genome"
KX547448.1,West Nile virus,,"Shabman,R., Das,S.R., Halpin,R.A., Shilts,M., Fedorova,N., Puri,V., Amedeo,P., Shrivastava,S., Maffei,J., Dupuis,A., Jones,S., Backenson,B., Zink,S., Ciota,A., Kramer,L.",J. Craig Venter Institute,USA,2016-08-02T00:00:00Z,,Orthoflavivirus nilense,10787,complete,"USA: Cayuga Co., NY",USA,NY,Corvus brachyrhynchos,,2002-08-29,,"West Nile virus strain WNV-1/Corvus brachyrhynchos/USA/02003549/2002, complete genome"
KX547449.1,West Nile virus,,"Shabman,R., Das,S.R., Halpin,R.A., Shilts,M., Fedorova,N., Puri,V., Amedeo,P., Shrivastava,S., Maffei,J., Dupuis,A., Jones,S., Backenson,B., Zink,S., Ciota,A., Kramer,L.",J. Craig Venter Institute,USA,2016-08-02T00:00:00Z,,Orthoflavivirus nilense,10787,complete,"USA: Suffolk Co., NY",USA,NY,Culex,,2011-07-06,,"West Nile virus strain WNV-1/Culex/USA/11510646/2011, complete genome"
KX547450.1,West Nile virus,,"Shabman,R., Das,S.R., Halpin,R.A., Shilts,M., Fedorova,N., Puri,V., Amedeo,P., Shrivastava,S., Maffei,J., Dupuis,A., Jones,S., Backenson,B., Zink,S., Ciota,A., Kramer,L.",J. Craig Venter Institute,USA,2016-08-02T00:00:00Z,,Orthoflavivirus nilense,10787,complete,"USA: Onondaga Co., NY",USA,NY,Culiseta,,2015-08-05,,"West Nile virus strain WNV-1/Culiseta sp./USA/15370470/2015, complete genome"
KX547451.1,West Nile virus,,"Shabman,R., Das,S.R., Halpin,R.A., Shilts,M., Fedorova,N., Puri,V., Amedeo,P., Shrivastava,S., Maffei,J., Dupuis,A., Jones,S., Backenson,B., Zink,S., Ciota,A., Kramer,L.",J. Craig Venter Institute,USA,2016-08-02T00:00:00Z,,Orthoflavivirus nilense,10787,complete,"USA: Monroe Co., NY",USA,NY,Corvus brachyrhynchos,,2006-08-22,,"West Nile virus strain WNV-1/Corvus brachyrhynchos/USA/06VER01528/2006, complete genome"
KX547452.1,West Nile virus,,"Shabman,R., Das,S.R., Halpin,R.A., Shilts,M., Fedorova,N., Puri,V., Amedeo,P., Shrivastava,S., Maffei,J., Dupuis,A., Jones,S., Backenson,B., Zink,S., Ciota,A., Kramer,L.",J. Craig Venter Institute,USA,2016-08-02T00:00:00Z,,Orthoflavivirus nilense,10787,complete,"USA: Nassau Co., NY",USA,NY,Corvus brachyrhynchos,,2007-08-14,,"West Nile virus strain WNV-1/Corvus brachyrhynchos/USA/07VER01063/2007, complete genome"
KX547453.1,West Nile virus,,"Shabman,R., Das,S.R., Halpin,R.A., Shilts,M., Fedorova,N., Puri,V., Amedeo,P., Shrivastava,S., Maffei,J., Dupuis,A., Jones,S., Backenson,B., Zink,S., Ciota,A., Kramer,L.",J. Craig Venter Institute,USA,2016-08-02T00:00:00Z,,Orthoflavivirus nilense,10787,complete,"USA: Suffolk Co., NY",USA,NY,Turdus migratorius,,2008-07-29,,"West Nile virus strain WNV-1/Turdus migratorius/USA/08VER00794/2008, complete genome"
KX547454.1,West Nile virus,,"Shabman,R., Das,S.R., Halpin,R.A., Shilts,M., Fedorova,N., Puri,V., Amedeo,P., Shrivastava,S., Maffei,J., Dupuis,A., Jones,S., Backenson,B., Zink,S., Ciota,A., Kramer,L.",J. Craig Venter Institute,USA,2016-08-02T00:00:00Z,,Orthoflavivirus nilense,10787,complete,"USA: Suffolk Co., NY",USA,NY,Culex,,2004-08-03,,"West Nile virus strain WNV-1/Culex/USA/33040049/2004, complete genome"
KX547455.1,West Nile virus,,"Shabman,R., Das,S.R., Halpin,R.A., Shilts,M., Fedorova,N., Puri,V., Amedeo,P., Shrivastava,S., Maffei,J., Dupuis,A., Jones,S., Backenson,B., Zink,S., Ciota,A., Kramer,L.",J. Craig Venter Institute,USA,2016-08-02T00:00:00Z,,Orthoflavivirus nilense,10787,complete,"USA: Nassau Co., NY",USA,NY,Culex,,2003-08-13,,"West Nile virus strain WNV-1/Culex/USA/34030112/2003, complete genome"
KX547456.1,West Nile virus,,"Shabman,R., Das,S.R., Halpin,R.A., Shilts,M., Fedorova,N., Puri,V., Amedeo,P., Shrivastava,S., Maffei,J., Dupuis,A., Jones,S., Backenson,B., Zink,S., Ciota,A., Kramer,L.",J. Craig Venter Institute,USA,2016-08-02T00:00:00Z,,Orthoflavivirus nilense,10785,complete,"USA: Chautauqua Co., NY",USA,NY,Culex,,2012-07-31,,"West Nile virus strain WNV-1/Culex sp./USA/12060057/2012, complete genome"
KX547457.1,West Nile virus,,"Shabman,R., Das,S.R., Halpin,R.A., Shilts,M., Fedorova,N., Puri,V., Amedeo,P., Shrivastava,S., Maffei,J., Dupuis,A., Jones,S., Backenson,B., Zink,S., Ciota,A., Kramer,L.",J. Craig Venter Institute,USA,2016-08-02T00:00:00Z,,Orthoflavivirus nilense,10785,partial,"USA: Nassau Co., NY",USA,NY,Culex,,2011-07-27,,"UNVERIFIED: West Nile virus strain WNV-1/Culex/USA/11290327/2011 genomic sequence, sequence"
KX547458.1,West Nile virus,,"Shabman,R., Das,S.R., Halpin,R.A., Shilts,M., Fedorova,N., Puri,V., Amedeo,P., Shrivastava,S., Maffei,J., Dupuis,A., Jones,S., Backenson,B., Zink,S., Ciota,A., Kramer,L.",J. Craig Venter Institute,USA,2016-08-02T00:00:00Z,,Orthoflavivirus nilense,10787,complete,"USA: Suffolk Co., NY",USA,NY,Cyanocitta cristata,,2003-09-22,,"West Nile virus strain WNV-1/Cyanocitta cristata /USA/04000161/2003, complete genome"
KX547459.1,West Nile virus,,"Shabman,R., Das,S.R., Halpin,R.A., Shilts,M., Fedorova,N., Puri,V., Amedeo,P., Shrivastava,S., Maffei,J., Dupuis,A., Jones,S., Backenson,B., Zink,S., Ciota,A., Kramer,L.",J. Craig Venter Institute,USA,2016-08-02T00:00:00Z,,Orthoflavivirus nilense,10787,complete,"USA: Wyoming Co., NY",USA,NY,Corvus brachyrhynchos,,2002-09-26,,"West Nile virus strain WNV-1/Corvus brachyrhynchos/USA/02003922/2002, complete genome"
KX547460.1,West Nile virus,,"Shabman,R., Das,S.R., Halpin,R.A., Shilts,M., Fedorova,N., Puri,V., Amedeo,P., Shrivastava,S., Maffei,J., Dupuis,A., Jones,S., Backenson,B., Zink,S., Ciota,A., Kramer,L.",J. Craig Venter Institute,USA,2016-08-02T00:00:00Z,,Orthoflavivirus nilense,10787,complete,"USA: Madison Co., NY",USA,NY,Aedes sp.,,2013-08-06,,"West Nile virus strain WNV-1/Aedes sp./USA/13260150/2013, complete genome"
KX547461.1,West Nile virus,,"Shabman,R., Das,S.R., Halpin,R.A., Shilts,M., Fedorova,N., Puri,V., Amedeo,P., Shrivastava,S., Maffei,J., Dupuis,A., Jones,S., Backenson,B., Zink,S., Ciota,A., Kramer,L.",J. Craig Venter Institute,USA,2016-08-02T00:00:00Z,,Orthoflavivirus nilense,10787,complete,"USA: Suffolk Co., NY",USA,NY,Cardinalis cardinalis,,2005-08-08,,"West Nile virus strain WNV-1/Cardinalis cardinalis/USA/05001813/2005, complete genome"
KX547462.1,West Nile virus,,"Shabman,R., Das,S.R., Halpin,R.A., Shilts,M., Fedorova,N., Puri,V., Amedeo,P., Shrivastava,S., Maffei,J., Dupuis,A., Jones,S., Backenson,B., Zink,S., Ciota,A., Kramer,L.",J. Craig Venter Institute,USA,2016-08-02T00:00:00Z,,Orthoflavivirus nilense,10787,complete,"USA: Jefferson Co., NY",USA,NY,Corvus brachyrhynchos,,2004-06-29,,"West Nile virus strain WNV-1/Corvus brachyrhynchos/USA/04001207/2004, complete genome"
KX547463.1,West Nile virus,,"Shabman,R., Das,S.R., Halpin,R.A., Shilts,M., Fedorova,N., Puri,V., Amedeo,P., Shrivastava,S., Maffei,J., Dupuis,A., Jones,S., Backenson,B., Zink,S., Ciota,A., Kramer,L.",J. Craig Venter Institute,USA,2016-08-02T00:00:00Z,,Orthoflavivirus nilense,10787,complete,"USA: Suffolk Co., NY",USA,NY,Culex,,2009-08-25,,"West Nile virus strain WNV-1/Culex/USA/09511089/2009, complete genome"
KX547464.1,West Nile virus,,"Shabman,R., Das,S.R., Halpin,R.A., Shilts,M., Fedorova,N., Puri,V., Amedeo,P., Shrivastava,S., Maffei,J., Dupuis,A., Jones,S., Backenson,B., Zink,S., Ciota,A., Kramer,L.",J. Craig Venter Institute,USA,2016-08-02T00:00:00Z,,Orthoflavivirus nilense,10787,complete,"USA: Weschester Co., NY",USA,NY,Culex,,2009-09-16,,"West Nile virus strain WNV-1/Culex/USA/09590589/2009, complete genome"
KX547465.1,West Nile virus,,"Shabman,R., Das,S.R., Halpin,R.A., Shilts,M., Fedorova,N., Puri,V., Amedeo,P., Shrivastava,S., Maffei,J., Dupuis,A., Jones,S., Backenson,B., Zink,S., Ciota,A., Kramer,L.",J. Craig Venter Institute,USA,2016-08-02T00:00:00Z,,Orthoflavivirus nilense,10787,complete,"USA: Westchester Co., NY",USA,NY,Culex,,2013-07-31,,"West Nile virus strain WNV-1/Culex/USA/13590318/2013, complete genome"
KX547466.1,West Nile virus,,"Shabman,R., Das,S.R., Halpin,R.A., Shilts,M., Fedorova,N., Puri,V., Amedeo,P., Shrivastava,S., Maffei,J., Dupuis,A., Jones,S., Backenson,B., Zink,S., Ciota,A., Kramer,L.",J. Craig Venter Institute,USA,2016-08-02T00:00:00Z,,Orthoflavivirus nilense,10787,partial,"USA: Suffolk Co., NY",USA,NY,Culex,,2003-08-19,,"UNVERIFIED: West Nile virus strain WNV-1/Culex/USA/35030328/2003 genomic sequence, sequence"
KX547467.1,West Nile virus,,"Shabman,R., Das,S.R., Halpin,R.A., Shilts,M., Fedorova,N., Puri,V., Amedeo,P., Shrivastava,S., Maffei,J., Dupuis,A., Jones,S., Backenson,B., Zink,S., Ciota,A., Kramer,L.",J. Craig Venter Institute,USA,2016-08-02T00:00:00Z,,Orthoflavivirus nilense,10787,complete,"USA: Onondaga Co., NY",USA,NY,Culiseta,,2013-09-12,,"West Nile virus strain WNV-1/Culiseta sp./USA/13330639/2013, complete genome"
KX547468.1,West Nile virus,,"Shabman,R., Das,S.R., Halpin,R.A., Shilts,M., Fedorova,N., Puri,V., Amedeo,P., Shrivastava,S., Maffei,J., Dupuis,A., Jones,S., Backenson,B., Zink,S., Ciota,A., Kramer,L.",J. Craig Venter Institute,USA,2016-08-02T00:00:00Z,,Orthoflavivirus nilense,10787,complete,"USA: Columbia Co., NY",USA,NY,Culex,,2003-08-11,,"West Nile virus strain WNV-1/Culex/USA/33030375/2003, complete genome"
KX547469.1,West Nile virus,,"Shabman,R., Das,S.R., Halpin,R.A., Shilts,M., Fedorova,N., Puri,V., Amedeo,P., Shrivastava,S., Maffei,J., Dupuis,A., Jones,S., Backenson,B., Zink,S., Ciota,A., Kramer,L.",J. Craig Venter Institute,USA,2016-08-02T00:00:00Z,,Orthoflavivirus nilense,10787,complete,"USA: Schenectady Co., NY",USA,NY,Sciurus carolinensis,,2002-09-19,,"West Nile virus strain WNV-1/Sciurus carolinensis/USA/02003688/2002, complete genome"
KX547470.1,West Nile virus,,"Shabman,R., Das,S.R., Halpin,R.A., Shilts,M., Fedorova,N., Puri,V., Amedeo,P., Shrivastava,S., Maffei,J., Dupuis,A., Jones,S., Backenson,B., Zink,S., Ciota,A., Kramer,L.",J. Craig Venter Institute,USA,2016-08-02T00:00:00Z,,Orthoflavivirus nilense,10787,complete,"USA: Erie Co., NY",USA,NY,Corvus brachyrhynchos,,2007-08-09,,"West Nile virus strain WNV-1/Corvus brachyrhynchos/USA/07VER01018/2007, complete genome"
KX547471.1,West Nile virus,,"Shabman,R., Das,S.R., Halpin,R.A., Shilts,M., Fedorova,N., Puri,V., Amedeo,P., Shrivastava,S., Maffei,J., Dupuis,A., Jones,S., Backenson,B., Zink,S., Ciota,A., Kramer,L.",J. Craig Venter Institute,USA,2016-08-02T00:00:00Z,,Orthoflavivirus nilense,10787,complete,"USA: Erie Co., NY",USA,NY,Aedes sp.,,2005-09-21,,"West Nile virus strain WNV-1/Aedes sp./USA/40050019/2005, complete genome"
KX547472.1,West Nile virus,,"Shabman,R., Das,S.R., Halpin,R.A., Shilts,M., Fedorova,N., Puri,V., Amedeo,P., Shrivastava,S., Maffei,J., Dupuis,A., Jones,S., Backenson,B., Zink,S., Ciota,A., Kramer,L.",J. Craig Venter Institute,USA,2016-08-02T00:00:00Z,,Orthoflavivirus nilense,10787,complete,"USA: Livingston Co., NY",USA,NY,Cyanocitta cristata,,2006-08-31,,"West Nile virus strain WNV-1/Cyanocitta cristata /USA/06VER01624/2006, complete genome"
KX547473.1,West Nile virus,,"Shabman,R., Das,S.R., Halpin,R.A., Shilts,M., Fedorova,N., Puri,V., Amedeo,P., Shrivastava,S., Maffei,J., Dupuis,A., Jones,S., Backenson,B., Zink,S., Ciota,A., Kramer,L.",J. Craig Venter Institute,USA,2016-08-02T00:00:00Z,,Orthoflavivirus nilense,10787,complete,"USA: Erie Co., NY",USA,NY,Culex,,2013-07-17,,"West Nile virus strain WNV-1/Culex/USA/13141233/2013, complete genome"
KX547474.1,West Nile virus,,"Shabman,R., Das,S.R., Halpin,R.A., Shilts,M., Fedorova,N., Puri,V., Amedeo,P., Shrivastava,S., Maffei,J., Dupuis,A., Jones,S., Backenson,B., Zink,S., Ciota,A., Kramer,L.",J. Craig Venter Institute,USA,2016-08-02T00:00:00Z,,Orthoflavivirus nilense,10787,complete,"USA: Albany Co., NY",USA,NY,Sciurus carolinensis,,2002-10-11,,"West Nile virus strain WNV-1/Sciurus carolinensis/USA/02004138/2002, complete genome"
KX547475.1,West Nile virus,,"Shabman,R., Das,S.R., Halpin,R.A., Shilts,M., Fedorova,N., Puri,V., Amedeo,P., Shrivastava,S., Maffei,J., Dupuis,A., Jones,S., Backenson,B., Zink,S., Ciota,A., Kramer,L.",J. Craig Venter Institute,USA,2016-08-02T00:00:00Z,,Orthoflavivirus nilense,10787,complete,"USA: Orleans Co., NY",USA,NY,Corvus brachyrhynchos,,2006-08-06,,"West Nile virus strain WNV-1/Corvus brachyrhynchos/USA/06VER01250/2006, complete genome"
KX547476.1,West Nile virus,,"Shabman,R., Das,S.R., Halpin,R.A., Shilts,M., Fedorova,N., Puri,V., Amedeo,P., Shrivastava,S., Maffei,J., Dupuis,A., Jones,S., Backenson,B., Zink,S., Ciota,A., Kramer,L.",J. Craig Venter Institute,USA,2016-08-02T00:00:00Z,,Orthoflavivirus nilense,10787,complete,"USA: Suffolk Co., NY",USA,NY,Cyanocitta cristata,,2008-08-07,,"West Nile virus strain WNV-1/Cyanocitta cristata /USA/08VER00851/2008, complete genome"
KX547477.1,West Nile virus,,"Shabman,R., Das,S.R., Halpin,R.A., Shilts,M., Fedorova,N., Puri,V., Amedeo,P., Shrivastava,S., Maffei,J., Dupuis,A., Jones,S., Backenson,B., Zink,S., Ciota,A., Kramer,L.",J. Craig Venter Institute,USA,2016-08-02T00:00:00Z,,Orthoflavivirus nilense,10787,complete,"USA: Monroe Co., NY",USA,NY,Culex,,2004-08-10,,"West Nile virus strain WNV-1/Culex/USA/33040386/2004, complete genome"
KX547478.1,West Nile virus,,"Shabman,R., Das,S.R., Halpin,R.A., Shilts,M., Fedorova,N., Puri,V., Amedeo,P., Shrivastava,S., Maffei,J., Dupuis,A., Jones,S., Backenson,B., Zink,S., Ciota,A., Kramer,L.",J. Craig Venter Institute,USA,2016-08-02T00:00:00Z,,Orthoflavivirus nilense,10787,complete,"USA: Rockland Co., NY",USA,NY,Culex,,2001-09-08,,"West Nile virus strain WNV-1/Culex/USA/37010158/2001, complete genome"
KX547479.1,West Nile virus,,"Shabman,R., Das,S.R., Halpin,R.A., Shilts,M., Fedorova,N., Puri,V., Amedeo,P., Shrivastava,S., Maffei,J., Dupuis,A., Jones,S., Backenson,B., Zink,S., Ciota,A., Kramer,L.",J. Craig Venter Institute,USA,2016-08-02T00:00:00Z,,Orthoflavivirus nilense,10787,complete,"USA: Suffolk Co., NY",USA,NY,Aedes sp.,,2005-09-07,,"West Nile virus strain WNV-1/Aedes sp./USA/38050412/2005, complete genome"
KX547480.1,West Nile virus,,"Shabman,R., Das,S.R., Halpin,R.A., Shilts,M., Fedorova,N., Puri,V., Amedeo,P., Shrivastava,S., Maffei,J., Dupuis,A., Jones,S., Backenson,B., Zink,S., Ciota,A., Kramer,L.",J. Craig Venter Institute,USA,2016-08-02T00:00:00Z,,Orthoflavivirus nilense,10787,complete,"USA: Columbia Co., NY",USA,NY,Culex,,2003-09-22,,"West Nile virus strain WNV-1/Culex/USA/39030127/2003, complete genome"
KX547481.1,West Nile virus,,"Shabman,R., Das,S.R., Halpin,R.A., Shilts,M., Fedorova,N., Puri,V., Amedeo,P., Shrivastava,S., Maffei,J., Dupuis,A., Jones,S., Backenson,B., Zink,S., Ciota,A., Kramer,L.",J. Craig Venter Institute,USA,2016-08-02T00:00:00Z,,Orthoflavivirus nilense,10787,complete,"USA: Nassau Co., NY",USA,NY,Cyanocitta cristata,,2005-09-01,,"West Nile virus strain WNV-1/Cyanocitta cristata /USA/05002174/2005, complete genome"
KX547482.1,West Nile virus,,"Shabman,R., Das,S.R., Halpin,R.A., Shilts,M., Fedorova,N., Puri,V., Amedeo,P., Shrivastava,S., Maffei,J., Dupuis,A., Jones,S., Backenson,B., Zink,S., Ciota,A., Kramer,L.",J. Craig Venter Institute,USA,2016-08-02T00:00:00Z,,Orthoflavivirus nilense,10787,complete,"USA: Oswego Co., NY",USA,NY,Culiseta,,2013-08-07,,"West Nile virus strain WNV-1/Culiseta sp./USA/13370456/2013, complete genome"
KX547483.1,West Nile virus,,"Shabman,R., Das,S.R., Halpin,R.A., Shilts,M., Fedorova,N., Puri,V., Amedeo,P., Shrivastava,S., Maffei,J., Dupuis,A., Jones,S., Backenson,B., Zink,S., Ciota,A., Kramer,L.",J. Craig Venter Institute,USA,2016-08-02T00:00:00Z,,Orthoflavivirus nilense,10787,complete,"USA: Nassau Co., NY",USA,NY,Culex,,2014-07-03,,"West Nile virus strain WNV-1/Culex/USA/14290233/2014, complete genome"
KX547484.1,West Nile virus,,"Shabman,R., Das,S.R., Halpin,R.A., Shilts,M., Fedorova,N., Puri,V., Amedeo,P., Shrivastava,S., Maffei,J., Dupuis,A., Jones,S., Backenson,B., Zink,S., Ciota,A., Kramer,L.",J. Craig Venter Institute,USA,2016-08-02T00:00:00Z,,Orthoflavivirus nilense,10787,complete,"USA: Genesee Co., NY",USA,NY,Corvus ossifragus,,2002-10-01,,"West Nile virus strain WNV-1/Corvus ossifragus/USA/02004009/2002, complete genome"
KX547485.1,West Nile virus,,"Shabman,R., Das,S.R., Halpin,R.A., Shilts,M., Fedorova,N., Puri,V., Amedeo,P., Shrivastava,S., Maffei,J., Dupuis,A., Jones,S., Backenson,B., Zink,S., Ciota,A., Kramer,L.",J. Craig Venter Institute,USA,2016-08-02T00:00:00Z,,Orthoflavivirus nilense,10787,complete,"USA: Rockland Co., NY",USA,NY,Culex,,2014-06-13,,"West Nile virus strain WNV-1/Culex/USA/14430021/2014, complete genome"
KX547486.1,West Nile virus,,"Shabman,R., Das,S.R., Halpin,R.A., Shilts,M., Fedorova,N., Puri,V., Amedeo,P., Shrivastava,S., Maffei,J., Dupuis,A., Jones,S., Backenson,B., Zink,S., Ciota,A., Kramer,L.",J. Craig Venter Institute,USA,2016-08-02T00:00:00Z,,Orthoflavivirus nilense,10787,complete,"USA: Erie Co., NY",USA,NY,Culex,,2005-09-13,,"West Nile virus strain WNV-1/Culex/USA/39050161/2005, complete genome"
KX547487.1,West Nile virus,,"Shabman,R., Das,S.R., Halpin,R.A., Shilts,M., Fedorova,N., Puri,V., Amedeo,P., Shrivastava,S., Maffei,J., Dupuis,A., Jones,S., Backenson,B., Zink,S., Ciota,A., Kramer,L.",J. Craig Venter Institute,USA,2016-08-02T00:00:00Z,,Orthoflavivirus nilense,10787,complete,"USA: New York Co., NY",USA,NY,Corvus brachyrhynchos,,2004-10-04,,"West Nile virus strain WNV-1/Corvus brachyrhynchos/USA/04002879/2004, complete genome"
