,Accession,Organism_Name,SRA_Accession,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Length,Nuc_Completeness,Geo_Location,Country,USA,Host,Isolation_Source,date,BioSample,GenBank_Title,Division
1833,KX547615.1,West Nile virus,?,"Shabman,R., Das,S.R., Halpin,R.A., Shilts,M., Fedorova,N., Puri,V., Amedeo,P., Shrivastava,S., Maffei,J., Dupuis,A., Jones,S., Backenson,B., Zink,S., Ciota,A., Kramer,L.",J. Craig Venter Institute,USA,2016-08-02T00:00:00Z,?,Orthoflavivirus nilense,10787,complete,"USA: Suffolk Co., NY",USA,NY,Corvus brachyrhynchos,?,2006-07-26,?,"West Nile virus strain WNV-1/Corvus brachyrhynchos/USA/06VER01227/2006, complete genome","Suffolk Co., NY"
1834,KX547616.1,West Nile virus,?,"Shabman,R., Das,S.R., Halpin,R.A., Shilts,M., Fedorova,N., Puri,V., Amedeo,P., Shrivastava,S., Maffei,J., Dupuis,A., Jones,S., Backenson,B., Zink,S., Ciota,A., Kramer,L.",J. Craig Venter Institute,USA,2016-08-02T00:00:00Z,?,Orthoflavivirus nilense,10787,complete,"USA: Kings Co., NY",USA,NY,Corvus brachyrhynchos,?,2007-09-20,?,"West Nile virus strain WNV-1/Corvus brachyrhynchos/USA/07VER01315/2007, complete genome","Kings Co., NY"
1835,KX547617.1,West Nile virus,?,"Shabman,R., Das,S.R., Halpin,R.A., Shilts,M., Fedorova,N., Puri,V., Amedeo,P., Shrivastava,S., Maffei,J., Dupuis,A., Jones,S., Backenson,B., Zink,S., Ciota,A., Kramer,L.",J. Craig Venter Institute,USA,2016-08-02T00:00:00Z,?,Orthoflavivirus nilense,10787,complete,"USA: Orange Co., NY",USA,NY,Culex,?,2003-08-26,?,"West Nile virus strain WNV-1/Culex/USA/37030146/2003, complete genome","Orange Co., NY"
1836,KX547618.1,West Nile virus,?,"Shabman,R., Das,S.R., Halpin,R.A., Shilts,M., Fedorova,N., Puri,V., Amedeo,P., Shrivastava,S., Maffei,J., Dupuis,A., Jones,S., Backenson,B., Zink,S., Ciota,A., Kramer,L.",J. Craig Venter Institute,USA,2016-08-02T00:00:00Z,?,Orthoflavivirus nilense,10787,complete,"USA: Ulster Co., NY",USA,NY,Corvus brachyrhynchos,?,2003-09-25,?,"West Nile virus strain WNV-1/Corvus brachyrhynchos/USA/0303357/2003, complete genome","Ulster Co., NY"
1837,KX547619.1,West Nile virus,?,"Shabman,R., Das,S.R., Halpin,R.A., Shilts,M., Fedorova,N., Puri,V., Amedeo,P., Shrivastava,S., Maffei,J., Dupuis,A., Jones,S., Backenson,B., Zink,S., Ciota,A., Kramer,L.",J. Craig Venter Institute,USA,2016-08-02T00:00:00Z,?,Orthoflavivirus nilense,10787,complete,"USA: Onondaga Co., NY",USA,NY,Culiseta,?,2002-08-15,?,"West Nile virus strain WNV-1/Culiseta sp./USA/33020408/2002, complete genome","Onondaga Co., NY"
1838,KX547620.1,West Nile virus,?,"Shabman,R., Das,S.R., Halpin,R.A., Shilts,M., Fedorova,N., Puri,V., Amedeo,P., Shrivastava,S., Maffei,J., Dupuis,A., Jones,S., Backenson,B., Zink,S., Ciota,A., Kramer,L.",J. Craig Venter Institute,USA,2016-08-02T00:00:00Z,?,Orthoflavivirus nilense,10787,complete,"USA: Jefferson Co., NY",USA,NY,Corvus brachyrhynchos,?,2002-08-29,?,"West Nile virus strain WNV-1/Corvus brachyrhynchos/USA/02003322/2002, complete genome","Jefferson Co., NY"
1839,KX547621.1,West Nile virus,?,"Shabman,R., Das,S.R., Halpin,R.A., Shilts,M., Fedorova,N., Puri,V., Amedeo,P., Shrivastava,S., Maffei,J., Dupuis,A., Jones,S., Backenson,B., Zink,S., Ciota,A., Kramer,L.",J. Craig Venter Institute,USA,2016-08-02T00:00:00Z,?,Orthoflavivirus nilense,10787,complete,"USA: Nassau Co., NY",USA,NY,Cyanocitta cristata,?,2004-09-29,?,"West Nile virus strain WNV-1/Cyanocitta cristata /USA/04002851/2004, complete genome","Nassau Co., NY"
1840,KU206781.1,West Nile virus,?,"Baymakova,M., Trifonova,I., Panayotova,E., Dakova,S., Pacenti,M., Barzon,L., Lavezzo,E., Hristov,Y., Ramshev,K., Plochev,K., Palu,G., Christova,I., Franchin,E.","University of Padua, Department of Molecular Medicine",Italy,2016-07-16T00:00:00Z,?,Orthoflavivirus nilense,10983,complete,Bulgaria,Bulgaria,?,Homo sapiens,?,2015-08-27,?,"West Nile virus strain Bulgaria/2015/Sofia, complete genome",?
1841,KM012170.1,West Nile virus,?,"Grinev,A., Chancey,C., Volkova,E., Anez,G., Heisey,D.A., Winkelman,V., Foster,G.A., Williamson,P., Stramer,S.L., Rios,M.",CBER/FDA,USA,2016-05-25T00:00:00Z,BSL05-12,Orthoflavivirus nilense,11029,partial,USA: AZ,USA,AZ,Homo sapiens,?,2012,?,"West Nile virus isolate BSL05-12 polyprotein gene, complete cds",AZ
1842,KM012171.1,West Nile virus,?,"Grinev,A., Chancey,C., Volkova,E., Anez,G., Heisey,D.A., Winkelman,V., Foster,G.A., Williamson,P., Stramer,S.L., Rios,M.",CBER/FDA,USA,2016-05-25T00:00:00Z,BSL08-12,Orthoflavivirus nilense,11029,partial,USA: MS,USA,MS,Homo sapiens,?,2012,?,"West Nile virus isolate BSL08-12 polyprotein gene, complete cds",MS
1843,KM012172.1,West Nile virus,?,"Grinev,A., Chancey,C., Volkova,E., Anez,G., Heisey,D.A., Winkelman,V., Foster,G.A., Williamson,P., Stramer,S.L., Rios,M.",CBER/FDA,USA,2016-05-25T00:00:00Z,BSL53-12,Orthoflavivirus nilense,11029,partial,USA: TX,USA,TX,Homo sapiens,?,2012,?,"West Nile virus isolate BSL53-12 polyprotein gene, complete cds",TX
1844,KM012173.1,West Nile virus,?,"Grinev,A., Chancey,C., Volkova,E., Anez,G., Heisey,D.A., Winkelman,V., Foster,G.A., Williamson,P., Stramer,S.L., Rios,M.",CBER/FDA,USA,2016-05-25T00:00:00Z,BSL78-12,Orthoflavivirus nilense,11029,partial,USA: SD,USA,SD,Homo sapiens,?,2012,?,"West Nile virus isolate BSL78-12 polyprotein gene, complete cds",SD
1845,KM012174.1,West Nile virus,?,"Grinev,A., Chancey,C., Volkova,E., Anez,G., Heisey,D.A., Winkelman,V., Foster,G.A., Williamson,P., Stramer,S.L., Rios,M.",CBER/FDA,USA,2016-05-25T00:00:00Z,BSL80-12,Orthoflavivirus nilense,11029,partial,USA: AZ,USA,AZ,Homo sapiens,?,2012,?,"West Nile virus isolate BSL80-12 polyprotein gene, complete cds",AZ
1846,KM012175.1,West Nile virus,?,"Grinev,A., Chancey,C., Volkova,E., Anez,G., Heisey,D.A., Winkelman,V., Foster,G.A., Williamson,P., Stramer,S.L., Rios,M.",CBER/FDA,USA,2016-05-25T00:00:00Z,BSL85-12,Orthoflavivirus nilense,11029,partial,USA: CA,USA,CA,Homo sapiens,?,2012,?,"West Nile virus isolate BSL85-12 polyprotein gene, complete cds",CA
1847,KM012176.1,West Nile virus,?,"Grinev,A., Chancey,C., Volkova,E., Anez,G., Heisey,D.A., Winkelman,V., Foster,G.A., Williamson,P., Stramer,S.L., Rios,M.",CBER/FDA,USA,2016-05-25T00:00:00Z,BSL93-12,Orthoflavivirus nilense,11029,partial,USA: ND,USA,ND,Homo sapiens,?,2012,?,"West Nile virus isolate BSL93-12 polyprotein gene, complete cds",ND
1848,KM012177.1,West Nile virus,?,"Grinev,A., Chancey,C., Volkova,E., Anez,G., Heisey,D.A., Winkelman,V., Foster,G.A., Williamson,P., Stramer,S.L., Rios,M.",CBER/FDA,USA,2016-05-25T00:00:00Z,BSL101-12,Orthoflavivirus nilense,11029,partial,USA: WY,USA,WY,Homo sapiens,?,2012,?,"West Nile virus isolate BSL101-12 polyprotein gene, complete cds",WY
1849,KM012178.1,West Nile virus,?,"Grinev,A., Chancey,C., Volkova,E., Anez,G., Heisey,D.A., Winkelman,V., Foster,G.A., Williamson,P., Stramer,S.L., Rios,M.",CBER/FDA,USA,2016-05-25T00:00:00Z,BSL107-12,Orthoflavivirus nilense,11029,partial,USA: TX,USA,TX,Homo sapiens,?,2012,?,"West Nile virus isolate BSL107-12 polyprotein gene, complete cds",TX
1850,KM012179.1,West Nile virus,?,"Grinev,A., Chancey,C., Volkova,E., Anez,G., Heisey,D.A., Winkelman,V., Foster,G.A., Williamson,P., Stramer,S.L., Rios,M.",CBER/FDA,USA,2016-05-25T00:00:00Z,BSL116-12,Orthoflavivirus nilense,11029,partial,USA: SD,USA,SD,Homo sapiens,?,2012,?,"West Nile virus isolate BSL116-12 polyprotein gene, complete cds",SD
1851,KM012180.1,West Nile virus,?,"Grinev,A., Chancey,C., Volkova,E., Anez,G., Heisey,D.A., Winkelman,V., Foster,G.A., Williamson,P., Stramer,S.L., Rios,M.",CBER/FDA,USA,2016-05-25T00:00:00Z,BSL140-12,Orthoflavivirus nilense,11029,partial,USA: GA,USA,GA,Homo sapiens,?,2012,?,"West Nile virus isolate BSL140-12 polyprotein gene, complete cds",GA
1852,KM012181.1,West Nile virus,?,"Grinev,A., Chancey,C., Volkova,E., Anez,G., Heisey,D.A., Winkelman,V., Foster,G.A., Williamson,P., Stramer,S.L., Rios,M.",CBER/FDA,USA,2016-05-25T00:00:00Z,BSL178-12,Orthoflavivirus nilense,11029,partial,USA: LA,USA,LA,Homo sapiens,?,2012,?,"West Nile virus isolate BSL178-12 polyprotein gene, complete cds",LA
1853,KM012182.1,West Nile virus,?,"Grinev,A., Chancey,C., Volkova,E., Anez,G., Heisey,D.A., Winkelman,V., Foster,G.A., Williamson,P., Stramer,S.L., Rios,M.",CBER/FDA,USA,2016-05-25T00:00:00Z,BSL195-12,Orthoflavivirus nilense,11029,partial,USA: NM,USA,NM,Homo sapiens,?,2012,?,"West Nile virus isolate BSL195-12 polyprotein gene, complete cds",NM
1854,KM012183.1,West Nile virus,?,"Grinev,A., Chancey,C., Volkova,E., Anez,G., Heisey,D.A., Winkelman,V., Foster,G.A., Williamson,P., Stramer,S.L., Rios,M.",CBER/FDA,USA,2016-05-25T00:00:00Z,BSL221-12,Orthoflavivirus nilense,11029,partial,USA: TX,USA,TX,Homo sapiens,?,2012,?,"West Nile virus isolate BSL221-12 polyprotein gene, complete cds",TX
1855,KM012184.1,West Nile virus,?,"Grinev,A., Chancey,C., Volkova,E., Anez,G., Heisey,D.A., Winkelman,V., Foster,G.A., Williamson,P., Stramer,S.L., Rios,M.",CBER/FDA,USA,2016-05-25T00:00:00Z,ARC1-12,Orthoflavivirus nilense,11029,partial,USA: OH,USA,OH,Homo sapiens,?,2012,?,"West Nile virus isolate ARC1-12 polyprotein gene, complete cds",OH
1856,KM012185.1,West Nile virus,?,"Grinev,A., Chancey,C., Volkova,E., Anez,G., Heisey,D.A., Winkelman,V., Foster,G.A., Williamson,P., Stramer,S.L., Rios,M.",CBER/FDA,USA,2016-05-25T00:00:00Z,ARC3-12,Orthoflavivirus nilense,11029,partial,USA: NE,USA,NE,Homo sapiens,?,2012,?,"West Nile virus isolate ARC3-12 polyprotein gene, complete cds",NE
1857,KM012186.1,West Nile virus,?,"Grinev,A., Chancey,C., Volkova,E., Anez,G., Heisey,D.A., Winkelman,V., Foster,G.A., Williamson,P., Stramer,S.L., Rios,M.",CBER/FDA,USA,2016-05-25T00:00:00Z,ARC4-12,Orthoflavivirus nilense,11029,partial,USA: OH,USA,OH,Homo sapiens,?,2012,?,"West Nile virus isolate ARC4-12 polyprotein gene, complete cds",OH
1858,KM012187.1,West Nile virus,?,"Grinev,A., Chancey,C., Volkova,E., Anez,G., Heisey,D.A., Winkelman,V., Foster,G.A., Williamson,P., Stramer,S.L., Rios,M.",CBER/FDA,USA,2016-05-25T00:00:00Z,ARC6-12,Orthoflavivirus nilense,11029,partial,USA: NE,USA,NE,Homo sapiens,?,2012,?,"West Nile virus isolate ARC6-12 polyprotein gene, complete cds",NE
1859,KM012188.1,West Nile virus,?,"Grinev,A., Chancey,C., Volkova,E., Anez,G., Heisey,D.A., Winkelman,V., Foster,G.A., Williamson,P., Stramer,S.L., Rios,M.",CBER/FDA,USA,2016-05-25T00:00:00Z,ARC13-12,Orthoflavivirus nilense,11029,partial,USA: IL,USA,IL,Homo sapiens,?,2012,?,"West Nile virus isolate ARC13-12 polyprotein gene, complete cds",IL
1860,KU588135.1,West Nile virus,?,"Joseph,S., Wernery,U., Teng,J.L., Wernery,R., Huang,Y., Patteril,N.A., Chan,K.H., Elizabeth,S.K., Fan,R.Y., Lau,S.K., Kinne,J., Woo,P.C., Teng,J.L.L., Patteril,N.A.G., Chan,K.-H., Fan,R.Y.Y., Lau,S.K.P., Woo,P.C.Y.","The University of Hong Kong, Department of Microbiology",Hong Kong,2016-03-16T00:00:00Z,camel,Orthoflavivirus nilense,10485,complete,United Arab Emirates,United Arab Emirates,?,Camelus dromedarius,?,2015,?,"West Nile virus isolate camel, complete genome",?
1861,KP780837.1,West Nile virus,?,"Bakonyi,T., Gajdon,G.K., Schwing,R., Vogl,W., Habich,A.C., Thaller,D., Weissenbock,H., Rudolf,I., Hubalek,Z., Nowotny,N.","Institute of Virology, University of Veterinary Medicine, Viral Zoonoses, Emerging and Vector-Borne Infections Group",Austria,2016-03-01T00:00:00Z,Sepperl,Orthoflavivirus nilense,10963,complete,Austria,Austria,?,Nestor notabilis,?,2008-08-29,?,"West Nile virus isolate Sepperl, complete genome",?
1862,KP780838.1,West Nile virus,?,"Bakonyi,T., Gajdon,G.K., Schwing,R., Vogl,W., Habich,A.C., Thaller,D., Weissenbock,H., Rudolf,I., Hubalek,Z., Nowotny,N.","Institute of Virology, University of Veterinary Medicine, Viral Zoonoses, Emerging and Vector-Borne Infections Group",Austria,2016-03-01T00:00:00Z,Mismo,Orthoflavivirus nilense,10963,complete,Austria,Austria,?,Nestor notabilis,?,2009-09-16,?,"West Nile virus isolate Mismo, complete genome",?
1863,KP780839.1,West Nile virus,?,"Bakonyi,T., Gajdon,G.K., Schwing,R., Vogl,W., Habich,A.C., Thaller,D., Weissenbock,H., Rudolf,I., Hubalek,Z., Nowotny,N.","Institute of Virology, University of Veterinary Medicine, Viral Zoonoses, Emerging and Vector-Borne Infections Group",Austria,2016-03-01T00:00:00Z,Berliner,Orthoflavivirus nilense,10963,complete,Austria,Austria,?,Nestor notabilis,?,2011-03-14,?,"West Nile virus isolate Berliner, complete genome",?
1864,KP780840.1,West Nile virus,?,"Bakonyi,T., Gajdon,G.K., Schwing,R., Vogl,W., Habich,A.C., Thaller,D., Weissenbock,H., Rudolf,I., Hubalek,Z., Nowotny,N.","Institute of Virology, University of Veterinary Medicine, Viral Zoonoses, Emerging and Vector-Borne Infections Group",Austria,2016-03-01T00:00:00Z,Tammy,Orthoflavivirus nilense,10963,complete,Austria,Austria,?,Nestor notabilis,?,2014-08-21,?,"West Nile virus isolate Tammy, complete genome",?
1865,KT359349.1,West Nile virus,?,"Nagy,A., Ban,E., Nagy,O., Ferenczi,E., Farkas,A., Banyai,K., Farkas,S., Takacs,M.","National Center for Epidemiology, Division of Virology",Hungary,2016-03-01T00:00:00Z,?,Orthoflavivirus nilense,10966,complete,Hungary,Hungary,?,Homo sapiens,urine,2014,?,"West Nile virus strain 2014/hun, complete genome",?
1866,KT934796.1,Kunjin virus,?,"Prow,N.A., Edmonds,J.H., Williams,D.T., Setoh,Y.X., Bielefeldt-Ohmann,H., Suen,W.W., Hobson-Peters,J., van den Hurk,A.F., Pyke,A.T., Hall-Mendelin,S., Northill,J.A., Johansen,C.A., Warrilow,D., Wang,J., Kirkland,P.D., Russell,R.C., Doggett,S., Brault,A.C., Andrade,C.C., Khromykh,A.A., Hall,R.A.","QIMR Berghofer Medical Research Institute, Inflammation Biology Group",Australia,2016-01-01T00:00:00Z,Boort,Orthoflavivirus nilense,10302,complete,Australia: Victoria,Australia,?,Equus caballus,spinal cord,1984,?,"Kunjin virus isolate Boort, complete genome",Victoria
1867,KT934797.1,Kunjin virus,?,"Prow,N.A., Edmonds,J.H., Williams,D.T., Setoh,Y.X., Bielefeldt-Ohmann,H., Suen,W.W., Hobson-Peters,J., van den Hurk,A.F., Pyke,A.T., Hall-Mendelin,S., Northill,J.A., Johansen,C.A., Warrilow,D., Wang,J., Kirkland,P.D., Russell,R.C., Doggett,S., Brault,A.C., Andrade,C.C., Khromykh,A.A., Hall,R.A.","QIMR Berghofer Medical Research Institute, Inflammation Biology Group",Australia,2016-01-01T00:00:00Z,Hu6774,Orthoflavivirus nilense,10302,complete,Australia: New South Wales,Australia,?,Homo sapiens,?,1991,?,"Kunjin virus isolate Hu6774, complete genome",New South Wales
1868,KT934798.1,Kunjin virus,?,"Prow,N.A., Edmonds,J.H., Williams,D.T., Setoh,Y.X., Bielefeldt-Ohmann,H., Suen,W.W., Hobson-Peters,J., van den Hurk,A.F., Pyke,A.T., Hall-Mendelin,S., Northill,J.A., Johansen,C.A., Warrilow,D., Wang,J., Kirkland,P.D., Russell,R.C., Doggett,S., Brault,A.C., Andrade,C.C., Khromykh,A.A., Hall,R.A.","QIMR Berghofer Medical Research Institute, Inflammation Biology Group",Australia,2016-01-01T00:00:00Z,GU0631,Orthoflavivirus nilense,10302,complete,"Australia: Gulf of Carpentaria, Queensland",Australia,?,Culex annulirostris,?,2000,?,"Kunjin virus isolate GU0631, complete genome","Gulf of Carpentaria, Queensland"
1869,KT934799.1,Kunjin virus,?,"Prow,N.A., Edmonds,J.H., Williams,D.T., Setoh,Y.X., Bielefeldt-Ohmann,H., Suen,W.W., Hobson-Peters,J., van den Hurk,A.F., Pyke,A.T., Hall-Mendelin,S., Northill,J.A., Johansen,C.A., Warrilow,D., Wang,J., Kirkland,P.D., Russell,R.C., Doggett,S., Brault,A.C., Andrade,C.C., Khromykh,A.A., Hall,R.A.","QIMR Berghofer Medical Research Institute, Inflammation Biology Group",Australia,2016-01-01T00:00:00Z,GU1009,Orthoflavivirus nilense,10302,complete,"Australia: Gulf of Carpentaria, Queensland",Australia,?,Culex annulirostris,?,2000,?,"Kunjin virus isolate GU1009, complete genome","Gulf of Carpentaria, Queensland"
1870,KT934800.1,Kunjin virus,?,"Prow,N.A., Edmonds,J.H., Williams,D.T., Setoh,Y.X., Bielefeldt-Ohmann,H., Suen,W.W., Hobson-Peters,J., van den Hurk,A.F., Pyke,A.T., Hall-Mendelin,S., Northill,J.A., Johansen,C.A., Warrilow,D., Wang,J., Kirkland,P.D., Russell,R.C., Doggett,S., Brault,A.C., Andrade,C.C., Khromykh,A.A., Hall,R.A.","QIMR Berghofer Medical Research Institute, Inflammation Biology Group",Australia,2016-01-01T00:00:00Z,P9974,Orthoflavivirus nilense,10302,complete,"Australia: Pilbara Region, Western Australia",Australia,?,Culex annulirostris,?,2009,?,"Kunjin virus isolate P9974, complete genome","Pilbara Region, Western Australia"
1871,KT934801.1,Kunjin virus,?,"Prow,N.A., Edmonds,J.H., Williams,D.T., Setoh,Y.X., Bielefeldt-Ohmann,H., Suen,W.W., Hobson-Peters,J., van den Hurk,A.F., Pyke,A.T., Hall-Mendelin,S., Northill,J.A., Johansen,C.A., Warrilow,D., Wang,J., Kirkland,P.D., Russell,R.C., Doggett,S., Brault,A.C., Andrade,C.C., Khromykh,A.A., Hall,R.A.","QIMR Berghofer Medical Research Institute, Inflammation Biology Group",Australia,2016-01-01T00:00:00Z,K74015,Orthoflavivirus nilense,10302,complete,"Australia: Kimberley Region, Western Australia",Australia,?,Culex annulirostris,?,2011,?,"Kunjin virus isolate K74015, complete genome","Kimberley Region, Western Australia"
1872,KT934802.1,Kunjin virus,?,"Prow,N.A., Edmonds,J.H., Williams,D.T., Setoh,Y.X., Bielefeldt-Ohmann,H., Suen,W.W., Hobson-Peters,J., van den Hurk,A.F., Pyke,A.T., Hall-Mendelin,S., Northill,J.A., Johansen,C.A., Warrilow,D., Wang,J., Kirkland,P.D., Russell,R.C., Doggett,S., Brault,A.C., Andrade,C.C., Khromykh,A.A., Hall,R.A.","QIMR Berghofer Medical Research Institute, Inflammation Biology Group",Australia,2016-01-01T00:00:00Z,K68967,Orthoflavivirus nilense,10302,complete,"Australia: Kimberley Region, Western Australia",Australia,?,Culex annulirostris,?,2009,?,"Kunjin virus isolate K68967, complete genome","Kimberley Region, Western Australia"
1873,KT934803.1,Kunjin virus,?,"Prow,N.A., Edmonds,J.H., Williams,D.T., Setoh,Y.X., Bielefeldt-Ohmann,H., Suen,W.W., Hobson-Peters,J., van den Hurk,A.F., Pyke,A.T., Hall-Mendelin,S., Northill,J.A., Johansen,C.A., Warrilow,D., Wang,J., Kirkland,P.D., Russell,R.C., Doggett,S., Brault,A.C., Andrade,C.C., Khromykh,A.A., Hall,R.A.","QIMR Berghofer Medical Research Institute, Inflammation Biology Group",Australia,2016-01-01T00:00:00Z,SA2011,Orthoflavivirus nilense,10302,complete,"Australia: Hallett, South Australia",Australia,?,Equus caballus,brain,2011,?,"Kunjin virus isolate SA2011, complete genome","Hallett, South Australia"
1874,KT934804.1,Kunjin virus,?,"Prow,N.A., Edmonds,J.H., Williams,D.T., Setoh,Y.X., Bielefeldt-Ohmann,H., Suen,W.W., Hobson-Peters,J., van den Hurk,A.F., Pyke,A.T., Hall-Mendelin,S., Northill,J.A., Johansen,C.A., Warrilow,D., Wang,J., Kirkland,P.D., Russell,R.C., Doggett,S., Brault,A.C., Andrade,C.C., Khromykh,A.A., Hall,R.A.","QIMR Berghofer Medical Research Institute, Inflammation Biology Group",Australia,2016-01-01T00:00:00Z,NSW2012,Orthoflavivirus nilense,10302,complete,Australia: New South Wales,Australia,?,Culex annulirostris,?,2012,?,"Kunjin virus isolate NSW2012, complete genome",New South Wales
1875,KT020853.1,West Nile virus,?,"Grubaugh,N.D., Massey,A., Shives,K.D., Stenglein,M.D., Ebel,G.D., Beckham,J.D.","Colorado State University, Microbiology, Immunology and Pathology",USA,2015-11-09T00:00:00Z,?,Orthoflavivirus nilense,10299,partial,USA,USA,?,Homo sapiens,brain,2014-10-14,?,"West Nile virus strain Brain-14 polyprotein gene, partial cds",?
1876,KR868734.1,West Nile virus,?,"Grubaugh,N.D., Ebel,G.D.","Colorado State University, Microbiology, Immunology and Pathology",USA,2015-10-31T00:00:00Z,FtC-3699,Orthoflavivirus nilense,11029,complete,"USA: Fort Collins, CO",USA,CO,Culex tarsalis,pooled insects,2012-08-22,?,"West Nile virus isolate FtC-3699, complete genome","Fort Collins, CO"
1877,KT163243.1,West Nile virus,?,"Pavitrakar,D.V., Ayachit,V.M., Mundhra,S., Bondre,V.P.","National Institute of Virology, Microbial Containment Complex, Encephalitis Group",India,2015-09-29T00:00:00Z,68856-ICDC-4,Orthoflavivirus nilense,11029,complete,India,India,?,?,?,2015-01-01,?,"West Nile virus isolate 68856-ICDC-4, complete genome",?
1878,KR107956.1,West Nile virus,?,"Dridi,M., Rosseel,T., Orton,R., Johnson,P., Lecollinet,S., Muylkens,B., Lambrecht,B., Van Borm,S.","Veterinary and Agrochemical Research Center, Operational Directorate Viral Diseases",Belgium,2015-09-23T00:00:00Z,?,Orthoflavivirus nilense,10435,partial,Belgium,Belgium,?,?,?,2014,?,"West Nile virus strain Is98 polyprotein precursor, gene, complete cds",?
1879,KT207791.1,West Nile virus,?,"Ravagnan,S., Montarsi,F., Cazzin,S., Porcellato,E., Russo,F., Palei,M., Monne,I., Savini,G., Marangon,S., Barzon,L., Capelli,G.","Istituto Zooprofilattico Sperimentale delle Venezie, Parasitology department",Italy,2015-08-24T00:00:00Z,792/14,Orthoflavivirus nilense,10983,complete,Italy,Italy,?,Culicidae,?,2014-07-15,?,"West Nile virus isolate 792/14, complete genome",?
1880,KT207792.1,West Nile virus,?,"Ravagnan,S., Montarsi,F., Cazzin,S., Porcellato,E., Russo,F., Palei,M., Monne,I., Savini,G., Marangon,S., Barzon,L., Capelli,G.","Istituto Zooprofilattico Sperimentale delle Venezie, Parasitology department",Italy,2015-08-24T00:00:00Z,1270/14,Orthoflavivirus nilense,10995,complete,Italy,Italy,?,Culicidae,?,2014-08-18,?,"West Nile virus isolate 1270/14, complete genome",?
1881,KR348915.1,West Nile virus,?,"Duggal,N.K., Reisen,W.K., Fang,Y., Newman,R.M., Yang,X., Ebel,G.D., Brault,A.C., Brault,A.","Centers for Disease Control and Prevention, Division of Vector-Borne Infectious Diseases",USA,2015-08-08T00:00:00Z,CNTR_251_2011,Orthoflavivirus nilense,10299,partial,?,?,?,Culex tarsalis,?,2011-08-29,?,"West Nile virus isolate CNTR_251_2011 polyprotein gene, partial cds",?
1882,KR348916.1,West Nile virus,?,"Duggal,N.K., Reisen,W.K., Fang,Y., Newman,R.M., Yang,X., Ebel,G.D., Brault,A.C., Brault,A.","Centers for Disease Control and Prevention, Division of Vector-Borne Infectious Diseases",USA,2015-08-08T00:00:00Z,CNTR_361_2008,Orthoflavivirus nilense,10299,partial,?,?,?,Culex tarsalis,?,2008-08-18,?,"West Nile virus isolate CNTR_361_2008 polyprotein gene, partial cds",?
1883,KR348917.1,West Nile virus,?,"Duggal,N.K., Reisen,W.K., Fang,Y., Newman,R.M., Yang,X., Ebel,G.D., Brault,A.C., Brault,A.","Centers for Disease Control and Prevention, Division of Vector-Borne Infectious Diseases",USA,2015-08-08T00:00:00Z,CNTR_371_2008,Orthoflavivirus nilense,10263,partial,?,?,?,Culex tarsalis,?,2008-08-18,?,"West Nile virus isolate CNTR_371_2008 polyprotein gene, partial cds",?
1884,KR348918.1,West Nile virus,?,"Duggal,N.K., Reisen,W.K., Fang,Y., Newman,R.M., Yang,X., Ebel,G.D., Brault,A.C., Brault,A.","Centers for Disease Control and Prevention, Division of Vector-Borne Infectious Diseases",USA,2015-08-08T00:00:00Z,CNTR_401_2011,Orthoflavivirus nilense,10299,partial,?,?,?,Culex pipiens,?,2011-03-10,?,"West Nile virus isolate CNTR_401_2011 polyprotein gene, partial cds",?
1885,KR348919.1,West Nile virus,?,"Duggal,N.K., Reisen,W.K., Fang,Y., Newman,R.M., Yang,X., Ebel,G.D., Brault,A.C., Brault,A.","Centers for Disease Control and Prevention, Division of Vector-Borne Infectious Diseases",USA,2015-08-08T00:00:00Z,CNTR_493_2009,Orthoflavivirus nilense,10299,partial,?,?,?,Culex tarsalis,?,2009-07-29,?,"West Nile virus isolate CNTR_493_2009 polyprotein gene, partial cds",?
1886,KR348920.1,West Nile virus,?,"Duggal,N.K., Reisen,W.K., Fang,Y., Newman,R.M., Yang,X., Ebel,G.D., Brault,A.C., Brault,A.","Centers for Disease Control and Prevention, Division of Vector-Borne Infectious Diseases",USA,2015-08-08T00:00:00Z,CNTR_542_2009,Orthoflavivirus nilense,10299,partial,?,?,?,Culex tarsalis,?,2009-03-08,?,"West Nile virus isolate CNTR_542_2009 polyprotein gene, partial cds",?
1887,KR348921.1,West Nile virus,?,"Duggal,N.K., Reisen,W.K., Fang,Y., Newman,R.M., Yang,X., Ebel,G.D., Brault,A.C., Brault,A.","Centers for Disease Control and Prevention, Division of Vector-Borne Infectious Diseases",USA,2015-08-08T00:00:00Z,CNTR_543_2009,Orthoflavivirus nilense,10299,partial,?,?,?,Culex pipiens,?,2009-03-08,?,"West Nile virus isolate CNTR_543_2009 polyprotein gene, partial cds",?
1888,KR348922.1,West Nile virus,?,"Duggal,N.K., Reisen,W.K., Fang,Y., Newman,R.M., Yang,X., Ebel,G.D., Brault,A.C., Brault,A.","Centers for Disease Control and Prevention, Division of Vector-Borne Infectious Diseases",USA,2015-08-08T00:00:00Z,CNTR_588_2009,Orthoflavivirus nilense,10299,partial,?,?,?,Culex tarsalis,?,2009-08-18,?,"West Nile virus isolate CNTR_588_2009 polyprotein gene, partial cds",?
